#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
contig_001	1	316969	9007	270642	85.3844	4.2624	33.9	40.6
contig_002	1	471766	74768	311741	66.0796	23.7728	35.4	51.6
contig_003	1	224794	86263	182679	81.2651	57.5614	35.1	58.6
contig_004	1	112090	87882	97774	87.2281	117.6046	34.0	46.7
contig_005	1	357159	84707	244653	68.4997	35.5753	34.3	54.5
contig_006	1	43033	1320	32542	75.6210	4.6011	37.0	59.9
contig_007	1	43409	70568	28038	64.5903	243.8480	34.1	58.5
contig_008	1	466826	9116	441464	94.5671	2.9291	34.5	41.5
contig_009	1	442122	71300	383139	86.6591	24.1902	35.4	59.7
contig_010	1	347871	69429	192553	55.3518	29.9374	36.3	44.6
contig_011	1	352806	13677	343110	97.2517	5.8150	33.5	40.5
contig_012	1	61117	72612	37889	61.9942	178.2123	34.1	42.6
