#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
contig_001	1	456465	14471	282450	61.8777	4.7553	33.6	53.0
contig_002	1	317690	8426	229736	72.3145	3.9784	35.4	48.3
contig_003	1	136813	72612	128241	93.7345	79.6109	33.0	53.9
contig_004	1	362412	70481	321783	88.7893	29.1716	36.1	45.5
contig_005	1	158878	57085	98690	62.1168	53.8951	33.0	53.9
contig_006	1	382319	34622	377482	98.7348	13.5837	36.0	49.2
contig_007	1	60789	82059	41597	68.4285	202.4848	35.6	51.4
contig_008	1	85131	49109	76033	89.3129	86.5296	35.2	55.1
contig_009	1	283058	174	231973	81.9525	0.0922	35.0	40.5
contig_010	1	195306	40406	128463	65.7752	31.0328	34.0	50.5
contig_011	1	46291	11326	40706	87.9350	36.7004	36.3	59.5
contig_012	1	284291	16583	172785	60.7775	8.7497	34.9	50.1
