#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
contig_001	1	335879	7816	219336	65.3021	3.4905	36.6	56.9
contig_002	1	42149	67491	27696	65.7097	240.1872	35.7	42.7
contig_003	1	74369	74947	60186	80.9289	151.1658	34.0	48.4
contig_004	1	218416	25057	129399	59.2443	17.2082	35.6	45.8
contig_005	1	220535	61313	207022	93.8726	41.7029	33.2	52.4
contig_006	1	343784	12999	198458	57.7275	5.6717	35.9	55.6
contig_007	1	62288	32691	39628	63.6206	78.7254	35.1	41.1
contig_008	1	101200	36609	76728	75.8182	54.2624	36.5	39.7
contig_009	1	428636	72232	254635	59.4059	25.2774	35.6	49.9
contig_010	1	12737	12324	12314	96.6790	145.1362	36.4	41.7
contig_011	1	259615	63192	167759	64.6184	36.5110	34.6	39.3
contig_012	1	203691	382	202344	99.3387	0.2813	34.1	55.2
